target,ids,date,flag,user,text
Negative,1564232189,Mon Apr 20 02:27:24 PDT 2009,NO_QUERY,Hollywood_Trey,@Digital_Girl Crazy  so what u up 2 this evening?
Negative,1557025136,Sun Apr 19 01:35:36 PDT 2009,NO_QUERY,michelleasaurus,mad at target...now i dunno what to wear to my party 
Negative,1553106710,Sat Apr 18 13:23:26 PDT 2009,NO_QUERY,RukkelIRL,My mom made cupcakes and put jello in them. Jello! Why would someone put jello in cupcakes?! I can't eat them now. 
Positive,1564382761,Mon Apr 20 03:13:18 PDT 2009,NO_QUERY,nathalie88,"@alm0stperfect ah thank you! perhaps we can talk more often now  btw. had a look for the instyle scans, he doesnï¿½t have it anymore :\"
Negative,1563952854,Mon Apr 20 01:01:57 PDT 2009,NO_QUERY,drduplo,another weekend without reaching wave 50 
Negative,1564542682,Mon Apr 20 03:58:34 PDT 2009,NO_QUERY,propartygirl,is super tired and not even done yet 
Positive,1551332944,Sat Apr 18 08:46:37 PDT 2009,NO_QUERY,Reillywtfff,Cheerleading competition at the palace. Im eating skittles for breakfast! Yummy 
Positive,1468337975,Tue Apr 07 01:03:34 PDT 2009,NO_QUERY,Paganmusic,"@frog_blurb Absolutely - sometimes a lot longer too. But I'm playing maybe 5 instruments, then 4 or 5 backing vox - it takes time "
Positive,1470069556,Tue Apr 07 08:15:23 PDT 2009,NO_QUERY,sabilrd,Life's sweet moments No. 1: sharing a cup of midnight ice cream with my wife. 
Negative,1565102381,Mon Apr 20 05:54:17 PDT 2009,NO_QUERY,imsimplysophia,talk about deep sleep. to bad its over. 2 work! 
Negative,1553636818,Sat Apr 18 14:48:17 PDT 2009,NO_QUERY,zenjar,Where'd that mr pepper dude go  (via #zenjar )
Positive,1555819225,Sat Apr 18 20:47:02 PDT 2009,NO_QUERY,Shaela_Scorpio,hello new followers 
Negative,1468346140,Tue Apr 07 01:06:35 PDT 2009,NO_QUERY,therebecca,"i wanna see twilight again. love it, but i don't have the dvd.  oh well... guess i surive."
Negative,1557421923,Sun Apr 19 04:00:57 PDT 2009,NO_QUERY,kasiopc,"Gotta do some chores now  Then will do a bit of revision, and then finish up my video!"
Negative,1550751610,Sat Apr 18 07:09:33 PDT 2009,NO_QUERY,mystyleonfire,The www.iplt20.com site if down I believe. It shows a 503 Server Unavailable error. Whats the issue? 
Positive,1557360984,Sun Apr 19 03:38:10 PDT 2009,NO_QUERY,tararific,"alive, awake, alert, enthusiastic!!!! yeah yeah, okk goodnight "
Positive,1556117887,Sat Apr 18 21:42:18 PDT 2009,NO_QUERY,oONikoleOo,@NAWnREW you can do it!!!!!!! 
Negative,1468298983,Tue Apr 07 00:49:45 PDT 2009,NO_QUERY,pjakobs,"@FoxWhisperer clean, but it resulted in the soft top beaing soaked wet, so I couldn,t open it  should be dry now"
Positive,1564543312,Mon Apr 20 03:58:44 PDT 2009,NO_QUERY,ALICCEEE,drank too much last night- bleurgh... Looking forward to tonight though 
Positive,1470099338,Tue Apr 07 08:20:43 PDT 2009,NO_QUERY,MeganLeighSmith,You owe me Amanda Dale 
Positive,1469957563,Tue Apr 07 07:55:37 PDT 2009,NO_QUERY,culinarycara,@TMfood I love the Lion &amp; Rose!  I go there every week.  i hear they wanna open one in Helotes too 
Negative,1678257630,Sat May 02 06:05:49 PDT 2009,NO_QUERY,SCADMiggs,such a beautiful day... its a shame i have so much work to do 
Positive,1557471773,Sun Apr 19 04:19:16 PDT 2009,NO_QUERY,TR_09,"@robdyrdek  http://tinyurl.com/cen6nv I think you'll like this,since u seem 2 b in2 MJ, its from last years show...enjoy "
Negative,1677516160,Sat May 02 02:29:59 PDT 2009,NO_QUERY,itsokay,"My kittens are leaving home today, for a new life in East London. I'm gonna miss them so much. "
Negative,1677292156,Sat May 02 01:20:28 PDT 2009,NO_QUERY,SomersetBob,"@Denpasar Teeth are bedding in, btw, but need a little adjustment - got to wait until Tuesday, though! Can't chew properly until then "
Negative,1468323001,Tue Apr 07 00:58:25 PDT 2009,NO_QUERY,mrcelebrity,okay bbs &lt;3 does anyone know where i can get info on how night clubs in L.A. cost? i wanna rent one out next year please  I'll invite yall
Negative,1678328982,Sat May 02 06:20:49 PDT 2009,NO_QUERY,lrsheehan,@aye_kayla I'm worried it will be just you me and kaylyn  haha
Positive,1555790790,Sat Apr 18 20:42:07 PDT 2009,NO_QUERY,neefifita,chillin @ nelle's gettin my mind right 
Negative,1557386618,Sun Apr 19 03:47:56 PDT 2009,NO_QUERY,CNao,Sweden is really awesome! I don't wanna leave.. 
Positive,1564505210,Mon Apr 20 03:48:33 PDT 2009,NO_QUERY,ArpitaB,@sudhavr 
Negative,1565686697,Mon Apr 20 07:19:55 PDT 2009,NO_QUERY,nikkisavage,"Oh god. The news is talking about all the shit that has happened today in the past, and I am scared "
Negative,1469192780,Tue Apr 07 05:33:21 PDT 2009,NO_QUERY,jlonzo,"So I see snow outside, I'm so sick of Ohio's weather!! 2 more years till I move down to Palm Springs, CA..missing 79* weather!! "
Negative,1557231889,Sun Apr 19 02:48:25 PDT 2009,NO_QUERY,WintersDaughter,skinhead &lt;3 so many in such a small place i nearlly jizzed myself. Missin my cheffy though 
Negative,1564540498,Mon Apr 20 03:58:00 PDT 2009,NO_QUERY,gengotron,i just had the worst dream ever and im super freaked out because its liked burned into my brain  how come we only remember the bad ones?
Positive,1553771588,Sat Apr 18 15:10:05 PDT 2009,NO_QUERY,fruitdance,@markhoppus i agree! @theaudition's new album is great 
Positive,1564713239,Mon Apr 20 04:39:17 PDT 2009,NO_QUERY,Snarglepip,"@Kevin_Carter Morning right back at ya  tho morning for me is, uh, half 12... Hehe "
Positive,1564565876,Mon Apr 20 04:04:10 PDT 2009,NO_QUERY,NKOTBChick4Life,"Damn, I love craigslist! "
Positive,1548673196,Fri Apr 17 21:37:30 PDT 2009,NO_QUERY,twilightgirl58,going to bed!!!!!  &lt;3
Negative,1556400547,Sat Apr 18 22:41:36 PDT 2009,NO_QUERY,kelseymarie27,Packing up all her stuff to leave California and go back home in the morning 
Positive,1468992572,Tue Apr 07 04:44:54 PDT 2009,NO_QUERY,HarlemLanes,Big cloud over Harlem but the sun's gonna come out 
Negative,1556208121,Sat Apr 18 22:00:24 PDT 2009,NO_QUERY,loopsy,@MPBOnline rebroadcast The Clash Live show that was recorded at @whyy with Pierre Robert @933WMMR wish MS had good radio stations. 
Negative,1556923761,Sun Apr 19 01:02:12 PDT 2009,NO_QUERY,Johnnywiggla,@bigemrg: Tell me about it. I'm en'route to Longleat for the day and won't be able to even look at my pics when I get home 
Positive,1552002205,Sat Apr 18 10:31:50 PDT 2009,NO_QUERY,pnktaco,loving this saturday already... cup of noodles + bulls = victory 
Negative,1555783991,Sat Apr 18 20:40:57 PDT 2009,NO_QUERY,pian0,@eboyle In a lot of pain. He's getting surgery on Monday to have a direct point for morphine to go in. 
Positive,1564959599,Mon Apr 20 05:29:12 PDT 2009,NO_QUERY,AnnHeart,So I'm tweeting and including my daily food intake.  Virtually food diary.  
Negative,1558130220,Sun Apr 19 07:22:10 PDT 2009,NO_QUERY,fatcunt,its cold 
Negative,1557658100,Sun Apr 19 05:21:53 PDT 2009,NO_QUERY,kyoisorange,@mayawesome Same.  WORD IS LOADING
Negative,1563933006,Mon Apr 20 00:56:28 PDT 2009,NO_QUERY,goatlady,@iceMagic the problem is the flight costs on convenient dates (early August) are huge  And I really really wanna see the Giger museum!
Negative,1558876757,Sun Apr 19 09:38:58 PDT 2009,NO_QUERY,skrobertson,@lyjahmarie 6AM :/ its bad enough that im up at 6:30 but 6AM oh god.  i cant eat in the morning  makes me feel urgh horrible.
Negative,1677508068,Sat May 02 02:27:16 PDT 2009,NO_QUERY,Love_the_Lash,@aminorjourney Well I guess it'll be at least a month away as I'm in hospital nxt week and am on crutches for the following 2 weeks 
Positive,1564830109,Mon Apr 20 05:04:13 PDT 2009,NO_QUERY,omgitsnoelle,@kimmelinn oh you gotta let us know how it went 
Negative,1677347801,Sat May 02 01:36:51 PDT 2009,NO_QUERY,Shellous,"Getting all our stuff ready for our night away, hubbie is outside cleaning the car. Somedays I feel like a 1950's mum "
Negative,1677160661,Sat May 02 00:43:33 PDT 2009,NO_QUERY,xjennyo,X-men Origins - Wolverine was AMAZING! Then went to see Madison but they were doing surgery on another baby so we couldn't go in 
Negative,1557618732,Sun Apr 19 05:09:19 PDT 2009,NO_QUERY,goodboyinc,Gonna head out to eat some Korean BBQ... sucks some of my favorite peeps won't be able to make it. 
Positive,1557258508,Sun Apr 19 02:58:53 PDT 2009,NO_QUERY,miss_emilene,can't believe how much i fit in this weekend. all domestic organisation and budget planning. i love the feeling of control! xxx 
Positive,1550760249,Sat Apr 18 07:11:12 PDT 2009,NO_QUERY,taraburner,@thesmartmama oh wow ENJOY while it lasts! 
Positive,1553554290,Sat Apr 18 14:34:51 PDT 2009,NO_QUERY,melissaspear30,http://tinyurl.com/cokk8p  Party at my house y'all! UR invited! LOL!!! Someday Ima a dreamer  ~melissa~
Negative,1551555300,Sat Apr 18 09:21:54 PDT 2009,NO_QUERY,AmyPredsfan,"Dear @Tweetdeck, Why do I have to wait for it to reset and have a limit on getting tweets? Can you eliminate that problem? "
Negative,1677531966,Sat May 02 02:35:00 PDT 2009,NO_QUERY,randomfreak,"Ever feel like you're just gonna die? I'm sorry, y'all. For everything. Lurves... Completely. "
Negative,1676583527,Fri May 01 22:29:43 PDT 2009,NO_QUERY,YungGl_lCCI,"@kylalipsmackk @ashshlee goodnight ladies.Kyla, sorry about ur almost suck face  he is just awkward.And Ashley I am truly sorry "
Positive,1552002565,Sat Apr 18 10:31:54 PDT 2009,NO_QUERY,simplyshannon,@navy83girl look at @joeymcintyre tweets from the other day 
Positive,1558094373,Sun Apr 19 07:14:32 PDT 2009,NO_QUERY,rosevillerockln,@pinksugacupcake Gosh I am glad you are safe.  I just had my first red velvet cake. Dang that was good.
Positive,1556014688,Sat Apr 18 21:22:22 PDT 2009,NO_QUERY,Bizcuits,@teemwilliams lls who? 
Positive,1551553330,Sat Apr 18 09:21:35 PDT 2009,NO_QUERY,JerryDTaylor,"Was listening to Comm Spin, but I think I will go for a mountain bike ride to lower my blood pressure. "
Negative,1574061532,Tue Apr 21 04:05:24 PDT 2009,NO_QUERY,MarketingGuru29,Is heading to the office WAY to early! 
Negative,1677664574,Sat May 02 03:18:50 PDT 2009,NO_QUERY,xx_cait,spy kids doesnt seem as good as it did wen i was little 
Negative,1550869068,Sat Apr 18 07:29:51 PDT 2009,NO_QUERY,Isa20uc,Tomorrow I fly again for the third time this year! I'm starting to get nervous again! 
Positive,1563886092,Mon Apr 20 00:43:13 PDT 2009,NO_QUERY,_lemon,just saw a news item on health and safety in the uk. apparently uk gov spent ï¿½1million+ topple testing gravestones for H&amp;S. honestly 
Negative,1551237659,Sat Apr 18 08:30:59 PDT 2009,NO_QUERY,Benji2307,still doin ma CW  wats any1 else doin??
Negative,1468550790,Tue Apr 07 02:21:35 PDT 2009,NO_QUERY,amygirl28,has got a cold coming  how shite!!
Positive,1557206525,Sun Apr 19 02:38:53 PDT 2009,NO_QUERY,SoapboxMark,@JustHarmless Are you the voice of reason ever? 
Positive,1553706925,Sat Apr 18 14:59:45 PDT 2009,NO_QUERY,AEnima46n2,@trent_reznor  you sound like someone I know @aperfectNIN
Negative,1559838024,Sun Apr 19 12:10:32 PDT 2009,NO_QUERY,dukeofcolor,the 2 year old one who thinks people just wanna play makes me super so sad 
Positive,1563848476,Mon Apr 20 00:32:38 PDT 2009,NO_QUERY,pikolmi,What a day! Sunny start at work! 
Positive,1557176944,Sun Apr 19 02:28:03 PDT 2009,NO_QUERY,seohun,"100 y.o Italian scientist said, &quot;don't fear difficult moments, the best comes from them&quot;  "
Negative,1553984945,Sat Apr 18 15:45:09 PDT 2009,NO_QUERY,Mollyeastcoast,is sick  but thats not going to stop me from having fun tonight!!!!
Positive,1470128334,Tue Apr 07 08:25:56 PDT 2009,NO_QUERY,jonskeeetskeeet,@NaomiVu happy birthday naomi 
Positive,1557074975,Sun Apr 19 01:52:26 PDT 2009,NO_QUERY,latasrinivasan,hehe@kaushik. but it's more important to make it on your own steam and that's what @aplusk did 
Negative,1557738971,Sun Apr 19 05:46:21 PDT 2009,NO_QUERY,paulsceeny,is thinking yet another gp marred by heavy rain  Whose daft idea was it to have races in malaysia and shanghai at this time of year?
Positive,1564185664,Mon Apr 20 02:12:42 PDT 2009,NO_QUERY,epiccolotto,@Rhins Thk  Happy to know that I'm not alone...
Positive,1550997364,Sat Apr 18 07:51:44 PDT 2009,NO_QUERY,dpshipley,Is just back from the beach with the kids. . 
Positive,1558239432,Sun Apr 19 07:44:41 PDT 2009,NO_QUERY,prologuewks,@hoccgoomusic post post post~ let us c c~ 
Negative,1677167756,Sat May 02 00:45:26 PDT 2009,NO_QUERY,chanikin,@roobies NO it was really gross 
Negative,1676901389,Fri May 01 23:38:26 PDT 2009,NO_QUERY,FreijasLove,I do NOT want to be here. 
Negative,1468814947,Tue Apr 07 03:52:46 PDT 2009,NO_QUERY,SamKosa,Eww snow 
Positive,1548285792,Fri Apr 17 20:32:18 PDT 2009,NO_QUERY,neuralgourmet,@awelfle Please don't tell me I'm Neelix! I don't think I could live with myself then. 
Positive,1564666911,Mon Apr 20 04:28:46 PDT 2009,NO_QUERY,p1nk4l1f3,Made a guy Jelious  that will show him Lol
Negative,1558089421,Sun Apr 19 07:13:28 PDT 2009,NO_QUERY,beckhsrules,Y d hell does they show IPL... I am not able to watch football now 
Positive,1468668790,Tue Apr 07 03:03:39 PDT 2009,NO_QUERY,Dragonsilver,"@stephenrock Oh my god, I love him so much! ha! "
Positive,1564605656,Mon Apr 20 04:14:18 PDT 2009,NO_QUERY,okse,"Thanks for all those who looked at my mums embroidery you made her very happy, she kept popping back to my screen &quot;How many hits now?&quot; "
Negative,1551874619,Sat Apr 18 10:11:48 PDT 2009,NO_QUERY,stinkyrat,Ahh trackball barely working 
Negative,1548780961,Fri Apr 17 21:57:19 PDT 2009,NO_QUERY,xxHeyyCourtxx,OMG  the saddest thing just happened! so most people might think its realy wierd but i think its soooooo sweet! anyone that knows me.....
Positive,1555821046,Sat Apr 18 20:47:22 PDT 2009,NO_QUERY,JonasP74,5:47am here... soon of to the golfcourse... 
Negative,1677595137,Sat May 02 02:56:30 PDT 2009,NO_QUERY,laurajayneday,"is going to work, and wishing her boyfriend would come and visit her "
Negative,1558212499,Sun Apr 19 07:39:11 PDT 2009,NO_QUERY,Ranka_Baybee,neck herts 
Negative,1564146309,Mon Apr 20 02:00:41 PDT 2009,NO_QUERY,bews,@caspiansmith thanks .. I really need to get my head into study mode! I get the feeling the CISM is easier than the CISA so far 
Negative,1468528378,Tue Apr 07 02:13:17 PDT 2009,NO_QUERY,omgwtfannie,@moony394 it must be because i slash their characters  sighhh gonna go sleep and dream happy things about kutner
Negative,1470231653,Tue Apr 07 08:44:28 PDT 2009,NO_QUERY,sarah_screaming,@TGAband its snowing  i cant even walk to my friends house
Positive,1556795737,Sun Apr 19 00:23:04 PDT 2009,NO_QUERY,trollsmyth,"@RavynER Yeah, I should get some sleep, too.  I hope you find what you're looking for someday. "
Negative,1559669178,Sun Apr 19 11:44:44 PDT 2009,NO_QUERY,Mrs_Beasley,All my followers need to also follow @missb111 as I have more followers then her and she won't let me sleep on her bed 
Positive,1563558445,Sun Apr 19 23:18:07 PDT 2009,NO_QUERY,jcooper23,"@TVAmy OK, NOW go to bed! I got everyone covered here. "
Positive,1468614828,Tue Apr 07 02:44:39 PDT 2009,NO_QUERY,maryamthebunny,First 2 DVDs from LoveFilm on the way  Meet the Robinsons and Princess Raccoon! YAY! So Excited!
Negative,1573105925,Mon Apr 20 23:44:43 PDT 2009,NO_QUERY,leximcmillin,"My night started out so much fun.. ended in a frantic call to Go &amp; Hil, followed by a stealth rescue. Guys in Iowa are weird, dude. Fuck. "
Positive,1551179276,Sat Apr 18 08:21:23 PDT 2009,NO_QUERY,robwellsca,is glad to have the time to help out a dear friend. 
Positive,1554076160,Sat Apr 18 16:00:12 PDT 2009,NO_QUERY,ambermolina,just woke up. can't remember the last time i took a nap. i feel amazing 
Negative,1556232888,Sat Apr 18 22:05:18 PDT 2009,NO_QUERY,coxfam,laying in bed watching shrek with kaden.. bbq-ing with my bf amanda tomorrow and letting the kids play.. poor steven has to work  ..
Positive,1553987017,Sat Apr 18 15:45:30 PDT 2009,NO_QUERY,bphotoart,"Oh, it has been a lovely day!  The warm weather is great "
Positive,1548783513,Fri Apr 17 21:57:42 PDT 2009,NO_QUERY,L0fosho,"I'm excited to see Katrina tomorrow &amp; get my toes done, it should be refreshing. Hopefully I find a cute outfit too for my bday dinner "
Negative,1559152710,Sun Apr 19 10:23:56 PDT 2009,NO_QUERY,NeiaNeia,"@jeremy_helton Where's my name?  Dammit. Celebs overtake everything. tv, news, jail cells, foreign babies, and now twitter too."
Positive,1550966370,Sat Apr 18 07:46:11 PDT 2009,NO_QUERY,djwaz,"@justinlathrop depends on the spell. If theyre like making cookies appear and giving u the ability to fly, its all good  otherwise, hide"
Negative,1676769384,Fri May 01 23:07:54 PDT 2009,NO_QUERY,Butterkins,has decided I need to make myself a bedtime. 
Positive,1554526264,Sat Apr 18 17:14:14 PDT 2009,NO_QUERY,kathieland,"@kissotaku Ah, there you go, audio working now. Cooool. "
Negative,1676447954,Fri May 01 22:04:29 PDT 2009,NO_QUERY,_kawaii,The only person who I'd like to talk right now isn't connected...  GRRRRRRRRRRR !!!!
Negative,1558968257,Sun Apr 19 09:54:07 PDT 2009,NO_QUERY,bandgeekian,ummm my ear hurts.... 
Positive,1556425412,Sat Apr 18 22:47:21 PDT 2009,NO_QUERY,_rOsmErY_,...ahahahah nick??...where are you baby??...i waiting for you!!! 
Negative,1559936423,Sun Apr 19 12:25:42 PDT 2009,NO_QUERY,chipbrock,Uh oh. Pouting from Minn to Detroit.  Will be strong.
Negative,1564754189,Mon Apr 20 04:48:24 PDT 2009,NO_QUERY,bex1210,my sisters taking my car to learn to drive  it had better come back in 1 piece!
Negative,1677374187,Sat May 02 01:45:00 PDT 2009,NO_QUERY,TiffanieJordan,cant sleep.... atempting to try to again soon..... 
Positive,1564959464,Mon Apr 20 05:29:10 PDT 2009,NO_QUERY,jerometouze,@tori_stokes  give us a chance  just a few minutes ;) hook me up on WAYN and will show you around 
Positive,1554137434,Sat Apr 18 16:10:15 PDT 2009,NO_QUERY,Jade___x,@Nicole_xD I was but its being gay so not anymore. I found 3OH!3's slow song! Its good 
Negative,1565093183,Mon Apr 20 05:52:44 PDT 2009,NO_QUERY,rma13,my stomach hurts 
Positive,1558884322,Sun Apr 19 09:40:11 PDT 2009,NO_QUERY,courtney_pink,@jonasbrothers iloveloveloveyou! 
Negative,1467836576,Mon Apr 06 22:26:29 PDT 2009,NO_QUERY,timdonnelly,"hey, I actually won one of my bracket pools! Too bad it wasn't the one for money "
Positive,1467989126,Mon Apr 06 23:08:31 PDT 2009,NO_QUERY,KriziaPie,@nateflynn go to twin peaks &amp; check out the view of SF    don't forget your jackets/hoodies!
Positive,1556722645,Sun Apr 19 00:02:26 PDT 2009,NO_QUERY,tsuvik,Wow! Cool! Enjoy 
Negative,1556268491,Sat Apr 18 22:12:41 PDT 2009,NO_QUERY,Cephiros,"@Steve519 Wow, if I had the money, I would be all over that. I miss playing games and writing about them. "
Negative,1553431366,Sat Apr 18 14:14:56 PDT 2009,NO_QUERY,Rtaisis,Finally getting some work done on this project. Predicted finish time 10pm 
